Geographic Area Name [0],State [1],Type [2],Population (2020) [3],CENTLAT [4],CENTLON [5],Nearest 5K+ city,Nearest 5K+ distance
Abanda CDP,Alabama,CDP,133,33.0926225,-85.5253404,Loading...,9.73319322
Alexandria CDP,Alabama,CDP,4032,33.7674763,-85.8792079,Loading...,Loading...
Axis CDP,Alabama,CDP,561,30.9296328,-88.0179185,Loading...,Loading...
Ballplay CDP,Alabama,CDP,1437,34.0178636,-85.7852315,Loading...,Loading...
Belgreen CDP,Alabama,CDP,170,34.4767572,-87.8652868,Loading...,Loading...
Bellamy CDP,Alabama,CDP,363,32.4581979,-88.1276914,Loading...,Loading...
Belle Fontaine CDP,Alabama,CDP,613,30.4919083,-88.1106226,Loading...,Loading...
Blue Ridge CDP,Alabama,CDP,1485,32.5010336,-86.1839011,Loading...,Loading...
Bon Secour CDP,Alabama,CDP,1754,30.3222632,-87.7271598,Loading...,Loading...
Boykin CDP,Alabama,CDP,208,32.0695705,-87.2915204,Loading...,Loading...
Brantleyville CDP,Alabama,CDP,931,33.2195558,-86.8820261,Loading...,Loading...
Bristow Cove CDP,Alabama,CDP,624,34.109216,-86.2409934,Loading...,Loading...
Brook Highland CDP,Alabama,CDP,7406,33.4359087,-86.6848543,Loading...,Loading...
Broomtown CDP,Alabama,CDP,160,34.3657277,-85.5321123,Loading...,Loading...
Bucks CDP,Alabama,CDP,22,31.0168992,-88.0249347,Loading...,Loading...
Calvert CDP,Alabama,CDP,255,31.1539534,-88.0169717,Loading...,Loading...
Carlisle-Rockledge CDP,Alabama,CDP,2167,34.1140316,-86.1190703,Loading...,Loading...
Carlton CDP,Alabama,CDP,46,31.3430439,-87.8377924,Loading...,Loading...
Catherine CDP,Alabama,CDP,65,32.1861704,-87.4699781,Loading...,Loading...
Choccolocco CDP,Alabama,CDP,2838,33.6682951,-85.7128956,Loading...,Loading...
Chunchula CDP,Alabama,CDP,195,30.9237244,-88.2071771,Loading...,Loading...
Coats Bend CDP,Alabama,CDP,1318,34.077397,-85.8742214,Loading...,Loading...
Concord CDP,Alabama,CDP,1690,33.4673944,-87.0391374,Loading...,Loading...
Cottondale CDP,Alabama,CDP,3130,33.1922686,-87.4541941,Loading...,Loading...
Cullomburg CDP,Alabama,CDP,126,31.713061,-88.2917744,Laurel cityMississippi,Loading...
Deer Park CDP,Alabama,CDP,141,31.2198289,-88.3225847,Loading...,Loading...
Delta CDP,Alabama,CDP,260,33.4470229,-85.6746173,Loading...,Loading...
Dunnavant CDP,Alabama,CDP,936,33.4977986,-86.5420446,Loading...,Loading...
Eagle Point CDP,Alabama,CDP,2903,33.3937617,-86.6778908,Loading...,Loading...
East Point CDP,Alabama,CDP,172,34.1857355,-86.7928841,Loading...,Loading...
Edgewater CDP,Alabama,CDP,746,33.5286034,-86.9573921,Loading...,Loading...
Egypt CDP,Alabama,CDP,845,34.0759381,-86.1650536,Loading...,Loading...
Emerald Mountain CDP,Alabama,CDP,3310,32.4396186,-86.0857167,Loading...,Loading...
Equality CDP,Alabama,CDP,150,32.7634402,-86.1059259,Loading...,Loading...
Eunola CDP,Alabama,CDP,284,31.0325464,-85.8408465,Loading...,Loading...
Fairford CDP,Alabama,CDP,161,31.1780024,-88.072784,Loading...,Loading...
Fayetteville CDP,Alabama,CDP,1422,33.1642677,-86.4411356,Loading...,Loading...
Fitzpatrick CDP,Alabama,CDP,79,32.2112894,-85.878407,Loading...,Loading...
Forestdale CDP,Alabama,CDP,10409,33.5737045,-86.8999884,Loading...,Loading...
Fort Rucker CDP,Alabama,CDP,4464,31.3428514,-85.7154133,Loading...,Loading...
Fredonia CDP,Alabama,CDP,198,32.9860982,-85.2911987,Loading...,Loading...
Fruitdale CDP,Alabama,CDP,175,31.3428605,-88.4108405,Loading...,Loading...
Gallant CDP,Alabama,CDP,869,34.0013232,-86.2303749,Loading...,Loading...
Graham CDP,Alabama,CDP,196,33.4551913,-85.3230847,Loading...,Loading...
Grand Bay CDP,Alabama,CDP,3460,30.471674,-88.3450084,Loading...,Loading...
Grayson Valley CDP,Alabama,CDP,5982,33.6466146,-86.641632,Loading...,Loading...
Gulfcrest CDP,Alabama,CDP,142,30.9924972,-88.2399025,Loading...,Loading...
Hackneyville CDP,Alabama,CDP,349,33.0566444,-85.9312002,Loading...,9.249120381
Hanover CDP,Alabama,CDP,151,33.0028672,-86.1990049,Loading...,Loading...
Harvest CDP,Alabama,CDP,5893,34.8557657,-86.7520561,Loading...,Loading...
Hatton CDP,Alabama,CDP,244,34.5610667,-87.4135564,Loading...,Loading...
Hazel Green CDP,Alabama,CDP,4105,34.9236743,-86.5670554,Meridianville CDPAlabama,Loading...
Highland Lakes CDP,Alabama,CDP,5239,33.3972721,-86.6494443,Loading...,Loading...
Hissop CDP,Alabama,CDP,209,32.8814189,-86.1285214,Loading...,Loading...
Hobson CDP,Alabama,CDP,100,31.4836212,-88.1512859,Loading...,43.55713425
Hollins CDP,Alabama,CDP,517,33.1213286,-86.1290357,Loading...,Loading...
Hollis Crossroads CDP,Alabama,CDP,665,33.5231343,-85.6437483,Loading...,Loading...
Holt CDP,Alabama,CDP,3413,33.2302053,-87.4827717,Loading...,Loading...
Holtville CDP,Alabama,CDP,4940,32.6314102,-86.3268301,Loading...,Loading...
Huguley CDP,Alabama,CDP,2470,32.8430621,-85.2396355,Loading...,Loading...
Ivalee CDP,Alabama,CDP,946,34.0372037,-86.1471817,Loading...,Loading...
Joppa CDP,Alabama,CDP,556,34.2981488,-86.5506329,Loading...,Loading...
Ladonia CDP,Alabama,CDP,3074,32.460866,-85.0877413,Loading...,Loading...
Leroy CDP,Alabama,CDP,766,31.495176,-87.9690125,Loading...,Loading...
Lillian CDP,Alabama,CDP,1330,30.4122312,-87.4319799,Loading...,Loading...
Lookout Mountain CDP,Alabama,CDP,1484,34.109094,-85.958558,Loading...,Loading...
Macedonia CDP,Alabama,CDP,241,33.403139,-88.239221,Loading...,Loading...
Malcolm CDP,Alabama,CDP,136,31.1946095,-88.0015787,Loading...,Loading...
Marbury CDP,Alabama,CDP,1427,32.6792899,-86.4607467,Loading...,Loading...
McCalla CDP,Alabama,CDP,12965,33.3023323,-87.0301541,Loading...,Loading...
McDonald Chapel CDP,Alabama,CDP,739,33.5188918,-86.9385248,Loading...,Loading...
Meadowbrook CDP,Alabama,CDP,9688,33.3934934,-86.7040684,Loading...,Loading...
Megargel CDP,Alabama,CDP,60,31.3781413,-87.4306492,Loading...,Loading...
